"","TransIdentifier","Liquid_Src","Non_Liquid_Src","Amount","Purchase","difference"
"1569","FYT-CFHS-DOF",86850.84,0,86850.8438,86850.84,0
"1577","FYT-CGWQ-IPC",45000,0,90000,45000,45000
"1583","FYT-CMG2-IFU",127500,0,255000,127500,127500
"1585","FYT-COGV-ZZ5",2260,17740,40000,20000,20000
"1588","FYT-CQ2S-WPG",33200,0,232400,33200,199200
"1591","FYU-B2W4-RLT",96133.31,0,192266.625,96133.31,96134
"1592","FYU-B64J-EQ3",21869.14,0,65607.4219,21869.14,43738
"1600","FYU-CDET-NJB",21869,0,65607,21869,43738
"1612","FYW-B47H-RMB",108167.66,0,108167.6562,108167.66,0
"1619","FYW-BNGV-ZQW",81446.61,0,81446.6094,81446.61,0
"1647","FYW-CDTP-LX6",140300,0,280600,140300,140300
"1657","FYW-CFHJ-6RN",241019.77,0,241019.7656,241019.77,0
"1662","FYW-CMTS-OP7",20000,0,40000,20000,20000
"1663","FYW-CORE-YXP",195000,0,390000,195000,195000
"1664","FYW-CPAT-OS6",21100,0,105500,21100,84400
"1682","FYX-BQGF-FYJ",180975.63,0,180975.625,180975.63,0
"1683","FYX-BQH5-YAO",21805.99,0,21805.9902,21805.99,0
"1699","FYX-BYOD-TWM",27000,0,54000,27000,27000
"1718","FYX-CG7M-SME",100466.53,0,100466.5312,100466.53,0
"1722","FYX-CHWO-WB2",36637,3188,79650,39825,39825
"1726","FYX-CJ7M-NNA",40000,0,80000,40000,40000
"1743","FYY-B2NA-QFB",129467.02,0,129467.0234,129467.02,0
"1752","FYY-B4PA-BH3",52798.53,0,52798.5312,52798.53,0
"1753","FYY-B4TI-2HT",66000,0,132000,66000,66000
"1756","FYY-B576-NTD",224264.04,0,224264.0469,224264.04,0
"1762","FYY-B7TO-JZI",143754.39,0,143754.3906,143754.39,0
"1768","FYY-BQXY-3QE",250275.38,0,250275.375,250275.38,0
"1771","FYY-BRMY-NZN",69000,0,138000,69000,69000
"1781","FYY-BUOZ-6HQ",3205,41575,89560,44780,44780
"1786","FYY-BWFN-PV2",147000,0,294000,147000,147000
"1798","FYY-CBTW-JIA",1e+05,0,2e+05,1e+05,1e+05
"1817","FYY-CJIB-H44",350000,0,1050000,350000,7e+05
"1819","FYY-CLH6-4LE",20275,0,40550,20275,20275
"1836","FYZ-B2SC-J6T",60774.35,0,60774.3516,60774.35,0
"1857","FYZ-BQX3-WAV",242088.48,0,242088.4844,242088.48,0
"1868","FYZ-BU3K-JZ2",61110,0,305550,61110,244440
"1881","FYZ-BZS7-2E7",0,95568,191136,95568,95568
"1882","FYZ-CA6I-ZWE",348354,0,1045062,348354,696708
"1889","FYZ-CCVJ-AMX",93000,0,186000,93000,93000
"1904","FYZ-CKIB-GMY",216820.39,0,433640.7812,216820.39,216821
"1913","FYZ-UBUN-O2G",20000,0,40000,20000,20000
"1916","FZA-B2NI-LBW",156721,0,313442,156721,156721
"1917","FZA-B2UF-BAV",24813,0,74439,24813,49626
"1921","FZA-B4DQ-J3S",55220,0,110440,55220,55220
"1928","FZA-B6AS-IJ7",60803.98,0,60803.9805,60803.98,0
"1945","FZA-BTEP-A5T",21651.01,0,43302.0195,21651.01,21651
"1959","FZA-BXHD-XHL",6500,20141,53282,26641,26641
"1974","FZA-CCN4-V5D",42371,0,127113,42371,84742
"1977","FZA-CD56-4LP",34745.73,0,34745.7305,34745.73,0
"1979","FZA-CDA3-XHV",31649.68,0,31649.6797,31649.68,0
"2006","FZB-B553-FF3",20000.45,0,20000.4492,20000.45,0
"2011","FZB-BFWG-XL3",25000,0,50000,25000,25000
"2030","FZB-BS2S-XK7",20000,0,40000,20000,20000
"2038","FZB-BWJ3-D34",0,79962,479772,79962,399810
"2045","FZB-CAEZ-LTD",25815.4,0,25815.4004,25815.4,0
"2049","FZB-CBUH-63D",0,32423.22,32423.2207,32423.22,0
"2050","FZB-CCCT-NYA",26613.18,0,26613.1797,26613.18,0
"2055","FZB-CH22-ZJU",21385.31,0,42770.6211,21385.31,21386
"2066","FZE-B2LO-MVU",0,29452.38,29452.3809,29452.38,0
"2070","FZE-B6XB-6NP",40454.08,0,40454.0781,40454.08,0
"2076","FZE-CAYY-4GQ",45889.9,0,45889.8984,45889.9,0
"2085","FZE-CMI2-KBX",25000,0,50000,25000,25000
"2092","FZF-BRUX-KEW",28295.26,0,56590.5195,28295.26,28296
"2101","FZF-BWYI-EL7",20000,0,40000,20000,20000
"2108","FZF-CAT7-PQL",43000,0,86000,43000,43000
"2125","FZG-B473-5ZG",11600,9000,41200,20600,20600
"2136","FZG-BLIQ-MPH",20679.05,0,20679.0508,20679.05,0
"2146","FZG-BTWB-ARK",32048.3,0,32048.3008,32048.3,0
"2155","FZG-CAWJ-B46",80534.95,0,80534.9531,80534.95,0
"2156","FZG-CCWN-IKK",26500,0,79500,26500,53000
"2157","FZG-CDFO-2PZ",20000,0,40000,20000,20000
"2163","FZG-CIO2-VGW",20864,0,41728,20864,20864
"2165","FZG-CJET-4RS",23800,0,95200,23800,71400
"2186","FZH-B4DB-2TB",0,93278.65,186557.2969,93278.65,93278
"2199","FZH-BOTX-F5W",100740.68,0,100740.6797,100740.68,0
"2206","FZH-BSQX-UET",20054.63,0,20054.6309,20054.63,0
"2214","FZH-BY3V-5SV",27716.26,0,27716.2598,27716.26,0
"2223","FZH-CEN6-MN4",0,40133.44,40133.4414,40133.44,0
"2226","FZH-CFLQ-YTX",295717.72,9319.17,915110.6875,305036.89,610074
"2229","FZH-CH2A-GAT",30646.52,0,30646.5195,30646.52,0
